Artikelnummer;Artikelname;Länge;Breite;Höhe;Artikelgewicht;Farbe
4932479205;LMP Teleskopstütze Milwaukee;108,5;20,8;10;4,7;2060FF
4932479198;WLB-C Ferngesteuerte Laserausrichtungsbasis Milwaukee;26,9;12,3;22,5;1,8;2061FF
4932478106;TRP180 1,8 Meter Stativ Milwaukee;71;12;14,5;1,84;2062FF
4932478959;TRP120 1,2 Meter Stativ Milwaukee;11;11;50;1,16;2063FF
4932493202;SR240 240 cm Laser-Messlatte Milwaukee;137;5;7,3;0,92;2064FF
4932493203;ROD500 500 cm Laser-Messlatte Milwaukee;125;6,5;6;2,11;2065FF
4933459278;LDM100 Laser-Entfernungsmesser Milwaukee;14,5;5;18,5;0,31;2066FF
4933447700;LDM50 Laser-Entfernungsmesser Milwaukee;12;5,5;17;0,29;2067FF
4933459277;LDM45 Laser-Entfernungsmesser Milwaukee;14,5;20,1;6,3;0,27;2068FF
4933459276;LDM30 Laser-Entfernungsmesser Milwaukee;4;17;12;0,18;2069FF
4933492421;M18HSFC125-802C Force Logic 125mm Hydr. Akku-Sicherheits-Kabelschneider inkl. Fernbedienung Milwaukee;104,5;48,5;29;30,76;2070FF
4933499331;M18HSFC125R-802C M18™ FORCE LOGIC™ Hydraulischer Akku-Sicherheits-Kabelschneider 125 mm Milwaukee;103,8;28,7;48;30,2;2071FF
4933492419;M18HCC125-801C Force Logic 125mm Hydr. Akku-Sicherheits-Kabelschneider Milwaukee;103,8;28,7;48;28,15;2072FF
4933499333;M18HCC125-801C M18™ FORCE LOGIC™ Hydraulischer Akku-Sicherheits-Kabelschneider 125 mm Milwaukee;103,8;28,7;48;28,15;2073FF
4933459271;M18HCC75R-502C Bürstenloser Akku-Kabelschneider (remote) Milwaukee;15,7;62;47;14,34;2074FF
4933459268;M18HCC75-0C Bürstenloser Akku-Kabelschneider Milwaukee;63;63;16,8;12,19;2075FF
4933459269;M18HCC75-502C Bürstenloser Akku-Kabelschneider Milwaukee;62;46,8;15,3;14,1;2076FF
4933459265;M18HCC45-0C Bürstenloser Akku-Kabelschneider Milwaukee;60;46;16;9,83;2077FF
4933459266;M18HCC45-522C Bürstenloser Akku-Kabelschneider Milwaukee;14,5;62;44,5;11,79;2078FF
4933431600;M12CC-0 Akku-Kabelschneider Milwaukee;31,5;10;26;3,21;2079FF
4933464300;M18ONEHCC-0C CU/AL-SET ONE KEY™ Akku-Kabelschneider Milwaukee;51,5;13,5;39;6,75;2080FF
4933464301;M18ONEHCC-201C CU/AL-SET ONE KEY™ Akku-Kabelschneider Milwaukee;50;14;39;8,13;2081FF
4933464303;M18ONEHCC-0C ACSR SET ONE KEY™ Akku-Kabelschneider Milwaukee;53;39;14;6,88;2082FF
4933464304;M18ONEHCC-201C ACSR SET ONE KEY™ Akku-Kabelschneider Milwaukee;52;13,8;39;7,94;2083FF
4933464308;M18ONEHCC-0C FSW SET ONE KEY™ Akku-Kabelschneider Milwaukee;39;53;14;6,42;2084FF
4933464309;M18ONEHCC-201C FSW SET ONE KEY™ Akku-Kabelschneider Milwaukee;14;49;39;7,78;2085FF
4933464306;M18ONEHCC-0C SWA SET ONE KEY™ Akku-Kabelschneider Milwaukee;52;12;36;6,75;2086FF
4933451202;M18HKP-201C Bürstenlose Akku-Lochstanzer Milwaukee;52;14;39;7,12;2087FF
4933451204;M18HKP-201CA Bürstenlose Akku-Lochstanzer Milwaukee;52;14;38,7;8,99;2088FF
4933471952;M18FPFT-0 FUEL™ Akku-Kabeleinziehgerät Milwaukee;34,4;14,8;45,5;3,86;2089FF
4933471953;M18FPFT-202 36mSt Set FUEL™ Akku-Kabeleinziehgerät 36 m, Stahl Milwaukee;53;18;46,5;10,3;2090FF
4933471954;M18FPFT-202 30mNC Set FUEL™ Akku-Kabeleinziehgerät 30 m, nicht leitend Milwaukee;53;18;47;10,24;2091FF
4933471813;M18HUP700-121 Akku-Hydraulikpumpe Milwaukee;44,3;40,1;47;19,78;2092FF
4933499335;M18HUP700-121 M18™ Akku-Hydraulikpumpe Milwaukee;45,3;38,2;41,5;17,3;2093FF
4933493968;L4HSL-301 Akku-Leuchte für Hochspannungsarbeiten Milwaukee;5,5;23,5;12,6;0,44;2094FF
4933459273;M18HCCT109/42-522C Akku-Presswerkzeug (Elektro) Milwaukee;62,7;48,7;16,6;12,1;2095FF
4933479683;M18ONEHCCT60-0C ONE KEY™ Akku-Presswerkzeug Milwaukee;12,5;57,5;44;6,96;2096FF
4933479684;M18ONEHCCT-202C ONE KEY™ Akku-Presswerkzeug Milwaukee;68,8;55,8;14;8,58;2097FF
4933451194;M18HCCT-201C    Akku-Presswerkzeug (Elektro) Milwaukee;15,2;59;45;7,63;2098FF
4933471949;M18HDCT-0C Akku-Presswerkzeug  Milwaukee;53;14;40;7,4;2099FF
4933471950;M18HDCT-202C Akku-Presswerkzeug  Milwaukee;52;14;38,5;9,14;2100FF
4933493288;M18BSBT-0X M18™ Scherbolzenwerkzeug Milwaukee;47,5;12,5;36;6,66;2101FF
4933493289;M18BSBT-202X M18™ Scherbolzenwerkzeug Milwaukee;47,5;13;36;8,52;2102FF
4933471150;M18BLTRC-0X Akku-Gewindestangenschneider Milwaukee;38,8;48,5;25,2;7,84;2103FF
4933471151;M18BLTRC-522X Akku-Gewindestangenschneider Milwaukee;23;47;36;9,31;2104FF
4933416972;2205-40 Elektrotester Milwaukee;25;10,5;7,5;0,76;2105FF
4933447776;2212-20 Kontinuitästester Milwaukee;21,5;16,5;5,5;0,44;2106FF
4933427309;2216-40 Digital-Multimeter Milwaukee;21,5;7,5;13;0,77;2107FF
4933416976;2217-40 Digital-Multimeter Milwaukee;21,5;9;12;0,91;2108FF
4933427315;2235-40 Spannungsmessgerät Milwaukee;22;12,5;5,5;0,66;2109FF
4933451906;2267-40 Infrarot-Thermometer  Milwaukee;16,8;5,7;27,2;0,53;2110FF
4932352561;2200-40 Berührungsloser Spannungsprüfer Milwaukee;22,5;3,5;7,5;0,08;2111FF
4932498859;2225-20 Spannungsdetektor mit Laserthermometer Milwaukee;8,5;4,9;25;0,26;2112FF
4933478305;M18ONEBLHPT-0C ONE KEY™ Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;20,5;70;45;6,88;2113FF
4933478306;M18ONEBLHPT-302C ONE KEY™ Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;63;42;20;9,49;2114FF
4933478307;M18ONEBLHPT-302C TH-SET ONE KEY™ Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;43,5;70;21;14,85;2115FF
4933478308;M18ONEBLHPT-302C V-SET ONE KEY™ Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;20;63;41,5;16,85;2116FF
4933478309;M18ONEBLHPT-302C U-SET ONE KEY™ Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;20;62;42;15,95;2117FF
4933478310;M18ONEBLHPT-302C M-SET ONE KEY™ Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;41;68;23;15;2118FF
4933480904;M18ONEBLHPT-302C Geberit Mapress Set Bürstenloses Akku-Presswerkzeug (Sanitär) Set Milwaukee;71,2;45,8;21,2;15,6;2119FF
4933478248;M18BLHPT-0C Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;66;41;18;6,98;2120FF
4933451132;M18BLHPT-202C Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;20;63;42;8,72;2121FF
4933451133;M18BLHPT-202C M-Set Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;73,5;42,5;20,5;14,9;2122FF
4933451134;M18BLHPT-202C V-Set Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;69,5;22;44,5;14,11;2123FF
4933451135;M18BLHPT-202C TH-Set Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;70;45;23;14,73;2124FF
4933451136;M18BLHPT-202C U-Set Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;44;70;22;15,44;2125FF
4933480903;M18BLHPT-202C Geberit Mapress Set Bürstenloses Akku-Presswerkzeug (Sanitär) Set Milwaukee;19;63;41;14,91;2126FF
4933479440;M18BLHPTXL-0C Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;16,3;56;40,9;7,96;2127FF
4933479441;M18BLHPTXL-502C Bürstenloses Akku-Presswerkzeug (Sanitär) Milwaukee;20;63;42;10,55;2128FF
4933481031;M12ONEHPT-0C M12 Akku-Presswerkzeug mit ONE-KEY Milwaukee;55;20;45;4,25;2129FF
4933481032;M12ONEHPT-202C M12 Akku-Presswerkzeug mit ONE-KEY Milwaukee;55;20;45;5,18;2130FF
4933481033;"M12ONEHPT-202C M-Set M12 Akku-Presswerkzeug mit ONE-KEY
Akku-Kit-Version
Inklusive 3x M-Profil Pressbacken Milwaukee";55;20;45;9,02;2131FF
4933481034;"M12ONEHPT-202C V-Set M12 Akku-Presswerkzeug mit ONE-KEY
Akku-Kit-Version
Inklusive 3x V-Profil Pressbacken Milwaukee";55;20;45;9,02;2132FF
4933481035;"M12ONEHPT-202C V-Set 2 M12 Akku-Presswerkzeug mit ONE-KEY
Akku-Kit-Version
Inklusive 3x V-Profil Pressbacken Milwaukee";55;20;45;9,02;2133FF
4933481036;"M12ONEHPT-202C TH-Set M12 Akku-Presswerkzeug mit ONE-KEY
Akku-Kit-Version
Inklusive 3x TH-Profil Pressbacken Milwaukee";55;20;45;9,02;2134FF
4933481037;"M12ONEHPT-202C U-Set M12 Akku-Presswerkzeug mit ONE-KEY
Akku-Kit-Version
Inklusive 3x U-Profil Pressbacken Milwaukee";55;20;45;9,02;2135FF
4933481038;"M12ONEHPT-202C Geberit Mapress Set M12 Akku-Presswerkzeug mit ONE-KEY
Akku-Kit-Version
Inklusive 3x Geberit Pressbacken Milwaukee";55;20;45;9,02;2136FF
4933478596;M18FPT2-0C FUEL™ Akku-Gewindeschneidkluppe Milwaukee;72;55,3;19,8;19,76;2137FF
4933478597;M18FPT2-121C FUEL™ Akku-Gewindeschneidkluppe Milwaukee;85,1;56,3;20,2;23,47;2138FF
4933499200;M18FPT2-121C M18 FUEL™ 2? Gewindeschneidkluppe Milwaukee;84;19,3;54,5;23,54;2139FF
4933480220;M18FPT114-0C FUEL™ Akku-Gewindeschneidkluppe Milwaukee;19,6;70,8;55,2;14,72;2140FF
4933479420;M18FPT114-802C FUEL™ Akku-Gewindeschneidkluppe Milwaukee;69;55,3;19,3;16,71;2141FF
4933499198;M18FPT114-802C M18 FUEL™ONE-KEY™ 11/4 ? Akku-Gewindeschneidkluppe Milwaukee;71;18,5;54;17,02;2142FF
4933479421;"M18FPT114-802CA M18 FUEL™ Akku-Gewindeschneider 1 1/4"" Milwaukee";105,3;74,2;58,4;17,6;2143FF
4933499199;M18FPT114-802CA M18 FUEL™ONE-KEY™ 11/4 ? Akku-Gewindeschneidkluppe Milwaukee;71;18,5;54;18,96;2144FF
4933472022;MPS Rohrständer Milwaukee;132;47;17;27,64;2145FF
4933498374;M12PCSS54-0 M12™ Akku-Edelstahl-Rohrabschneider XL Milwaukee;21,5;12;23,6;3,16;2146FF
4933498605;M12PCSS54-402C M12™ Akku-Edelstahl-Rohrabschneider XL Milwaukee;44,1;34;13,2;6,4;2147FF
4933479241;M12PCSS-0 Akku-Rohrschneider Milwaukee;36,5;7,5;13;1,7;2148FF
4933479242;M12PCSS-202C Akku-Rohrschneider Milwaukee;42,2;14;35,1;4,46;2149FF
4933416550;C12PPC-0 Akku-Rohrschneider Milwaukee;9,5;37;14;2,35;2150FF
4933411920;C12PC-0 Akku-Rohrschneider Milwaukee;36,4;12,8;7,6;1,72;2151FF
4933479788;M18FRGRO114-0C M18 FUEL™ Akku-Rollnutmaschine mit ONE-KEY™ Milwaukee;65;45;50;19,4;2152FF
4933479789;M18FRGRO114-802C M18 FUEL™ Akku-Rollnutmaschine mit ONE-KEY™ Milwaukee;65;45;50;19,4;2153FF
4933492097;M18STSO-0B M18™ FORCE LOGIC™ Akku-Profil-Schneider Milwaukee;54,8;38,4;30,7;15,06;2154FF
4933498559;M18BLSWP-0 M18™ HYDROPASS™ Akku-Stabwasserpumpe Milwaukee;15,7;12;113,7;4,1;2155FF
4933498560;M18BLSWP-801 M18™ HYDROPASS™ Akku-Stabwasserpumpe Milwaukee;24,7;12;113,7;4,8;2156FF
4933479639;M12BSWP-0 Akku-Transferpumpe Milwaukee;124,5;10,8;13;2,32;2157FF
4933479640;M12BSWP-601 Akku-Transferpumpe Milwaukee;128;23;12;4;2158FF
4933492853;M18FVP5-0 M18™ FUEL™ Akku-Vakuum Pumpe Milwaukee;39,8;19,7;33,2;9,74;2159FF
4933492854;M18FVP5-801 M18™ FUEL™ Akku-Vakuum Pumpe Milwaukee;30,3;40,3;34;12,96;2160FF
4933499248;M18FVP5-801 M18™ Fuel™ Akku-Vakuum Pumpe Milwaukee;39,5;29;31;12,27;2161FF
4933464299;M18ONEBLPXPL-502C ONE KEY™ Akku-Expander Milwaukee;70;26;54,9;16,04;2162FF
4933479436;M18FPXP-0C FUEL™ Akku-Expander Milwaukee;45;60;15,5;9,12;2163FF
4933479438;M18FPXP-H06502C FUEL™ Akku-Expander Milwaukee;58;14,4;42,7;13,05;2164FF
4933479437;M18FPXP-H10502C FUEL™ Akku-Expander Milwaukee;14;57;42;13,07;2165FF
4933441771;HD18PXP-H06202C Akku-Expander Milwaukee;46;15,4;37,9;7,88;2166FF
4933441774;HD18PXP-H10202C Akku-Expander Milwaukee;14,5;38,4;46;8,12;2167FF
4933472018;M12FPXP-0C FUEL™ Akku-Expander Milwaukee;43;13;35;4,1;2168FF
4933472020;M12FPXP-I10202C FUEL™ Akku-Expander Milwaukee;42;14;34;5,5;2169FF
4933472021;M12FPXP-I06202C FUEL™ Akku-Expander Milwaukee;42,5;13,5;34,5;5,49;2170FF
4933441715;C12PXP-I06202C Akku-Expander Milwaukee;12,2;36,5;32,2;4,76;2171FF
4933441730;C12PXP-I10202C Akku-Expander Milwaukee;37,9;31,3;12;4,85;2172FF
4933441740;C12PXP-N202C Akku-Expander Milwaukee;24,6;37,3;36,6;5,17;2173FF
4933459708;M18FFSDC13-0 FUEL™ Akku-Rohrreiniger 13 mm Milwaukee;79,5;53,6;48,2;43,39;2174FF
4933459707;M18FFSDC10-0 FUEL™ Akku-Rohrreiniger 10 mm Milwaukee;46,2;48;53,8;23,66;2175FF
4933459684;M18FDCPF10-0C FUEL™ Akku-Rohrreiniger 10 mm Milwaukee;34,5;63,5;36;12,1;2176FF
4933459685;M18FDCPF10-201C FUEL™ Akku-Rohrreiniger 10 mm Milwaukee;35;61,5;33,5;13,2;2177FF
4933459709;M18FFSDC16-0 FUEL™ Akku-Rohrreiniger 16 mm Milwaukee;79,8;44,8;53,6;33,54;2178FF
4933459710;M18FFSDC16-502 FUEL™ Akku-Rohrreiniger 16 mm Milwaukee;48;80;54;35,36;2179FF
4933459683;M18FDCPF8-0C FUEL™ Akku-Rohrreiniger 8 mm Milwaukee;37;63;35;12;2180FF
4933451632;M12BDC8-0C Akku Rohrreiniger Milwaukee;49;33;33;7,07;2181FF
4933451633;M12BDC8-202C Akku Rohrreiniger Milwaukee;31,5;47;31;7,35;2182FF
4933451634;M12BDC6-0C Akku Rohrreiniger Milwaukee;50;33;33;6,5;2183FF
4933451635;M12BDC6-202C Akku Rohrreiniger Milwaukee;47,1;31,3;31,3;6,68;2184FF
4933478408;M18FCSSM-0 FUEL™ Akku-Kompakt-Teilspiralmaschine Milwaukee;59,3;58,7;41,9;21,04;2185FF
4933478407;M18FCSSM-121 FUEL™ Akku-Kompakt-Teilspiralmaschine Milwaukee;58,9;58,9;42,5;23,34;2186FF
4933499308;M18FCSSM-121 M18™ FUEL™ kompakte Akku-Teilspiralenmaschine Milwaukee;58,9;58,9;41,9;23,92;2187FF
4933480721;M18HSFSM-0 M18™ Hochgeschwindigkeits-Rohrreiniger mit flexibler Welle Milwaukee;80,2;68,1;50,8;41,84;2188FF
4933480722;M18HSFSM-122 M18™ Hochgeschwindigkeits-Rohrreiniger mit flexibler Welle Milwaukee;50,4;68,1;80,3;43,76;2189FF
4933499309;M18HSFSM-122 M18™ Hochgeschwindigkeits-Rohrreiniger mit flexibler Welle Milwaukee;68,1;50,4;80,4;29,52;2190FF
4933498377;M12HSFSM-0  M12™ Akku-Hochgeschwindigkeitsmaschine mit flexibler Welle Milwaukee;38,1;17,8;54,3;13,2;2191FF
4933498378;M12HSFSM-602 M12™ Akku-Hochgeschwindigkeitsmaschine mit flexibler Welle Milwaukee;38,1;17,8;54,3;14,2;2192FF
4933493955;M18SIC60SC HDR-0 M18 Akku-Kanalinspektionskamera 60m Milwaukee;74,5;60,5;48;22,18;2193FF
4933493954;M18SIC60HDR-0 M18 Akku-Kanalinspektionskamera 60m Milwaukee;84,5;69,5;47,5;27,66;2194FF
4933493953;M18SIC36 HDR-0 M18 Akku-Kanalinspektionskamera 36m Milwaukee;73,5;54,5;45;16,55;2195FF
4933493952;M18SIC30 HDR-0 M18 Akku-Kanalinspektionskamera 30m Milwaukee;69,5;48,5;45,5;13,13;2196FF
4933471415;M18SISH-0 Akku-Smart-Hub für Kanalinspektionsgerät Milwaukee;39,7;38,8;27,8;4,18;2197FF
4933471414;M18SIM-0 Akku-Monitor für Kanalinspektionsgerät Milwaukee;22,3;28;28;2,58;2198FF
4933493592;M12SIM-0 M12™ Akku-Inspektionsmonitor Milwaukee;40;15,5;34,1;3,15;2199FF
4933498230;M12SICO26-0 M12™ ONE-KEY™ Akku-Kanalinspektionskamera 26 m Milwaukee;33,1;16,3;40,5;5,8;2200FF
4933498231;M12SICO20-0 M12™ ONE-KEY™ Akku-Kanalinspektionskamera 20 m Milwaukee;33,1;16,3;40,5;5,8;2201FF
4933498371;M12POSIC-0 M12™ PACKPOUT™ Akku-Kanalisationsinspektionskamera Milwaukee;40,8;25;15,1;4,9;2202FF
4933471995;M12PL-0C Akku-Ortungsgerät Milwaukee;17,1;88,2;38,5;7,86;2203FF
4933478615;M12PL-201C Akku-Ortungsgerät Milwaukee;87,8;38,4;17;8,77;2204FF
4933480739;M12360IC12-0C Akku-Inspektionskamera Milwaukee;37;15;31;2,8;2205FF
4933480740;M12360IC12-201C Akku-Inspektionskamera Milwaukee;39,5;15,5;34,5;3,34;2206FF
4933480741;M12360IC32-0C Akku-Inspektionskamera Milwaukee;14,5;37,5;32;3,15;2207FF
4933480738;AIC2 Alkaline-Inspektionskamera Milwaukee;13;37;32;2,34;2208FF
4933492011;M18F2LM46-802 M18 FUEL™ Akku-Rasenmäher Milwaukee;100;60;49;46,37;2209FF
4933499215;"M18F2LM46-802 	
M18 FUEL™ Akku-Rasenmäher 46 cm Milwaukee";104,5;56,5;47;45,3;2210FF
4933479584;M18F2LM53-0 FUEL™ Akku-Rasenmäher Milwaukee;57,3;101,1;46,5;42,64;2211FF
4933499213;"M18F2LM53-122  	
M18 FUEL™ Akku-Rasenmäher 53 cm Milwaukee";107;58;47;49,3;2212FF
4933499211;M18FBCU-802 M18 FUEL™ Akku-Freischneider Milwaukee;46;13,5;173,2;13,64;2213FF
4933480859;M18F2BCU-0 M18™ FUEL™ Akku-Freischneider Milwaukee;46;13,5;173,2;14,98;2214FF
4933480860;M18F2BCU-122 M18™ FUEL™ Akku-Freischneider Milwaukee;46;13,5;173,2;13,88;2215FF
4933493556;M18FEDG-0 M18 FUEL™ Akku-Kantenschneider Milwaukee;30,3;16,4;175,2;7,72;2216FF
4933498387;M18FHET75G2-0 M18™ FUEL™ Akku-Heckenschere 75 cm Milwaukee;25;23;134,8;7,2;2217FF
4933498388;M18FHET75G2-802 M18™ FUEL™ Akku-Heckenschere 75 cm Milwaukee;25;23;134,8;10,37;2218FF
4933498384;M18FHET60G2-0 M18™ FUEL™ Akku-Heckenschere 60 cm Milwaukee;25;23;120,5;6,84;2219FF
4933493291;M18FHET60-802 M18 FUEL™ Akku-Heckenschere 60 cm Milwaukee;116;27;24;10,44;2220FF
4933498385;M18FHET60G2-802 M18™ FUEL™ Akku-Heckenschere 60 cm Milwaukee;25;23;120,5;10,01;2221FF
4933493294;M18FHET45-802 M18 FUEL™ Akku-Heckenschere 45 cm Milwaukee;100;27;24;9,9;2222FF
4933492910;M18FHETE27-0 M18 FUEL™ Akku-Stabheckenschere 267 cm Milwaukee;250;29,8;35,6;6;2223FF
4933492911;M18FHETE27-802 M18 FUEL™ Akku-Stabheckenschere 267 cm Milwaukee;250;22,6;44,1;10;2224FF
4933498515;M18FHETE22-0 M18 FUEL™ Akku-Stabheckenschere 216 cm Milwaukee;25;21,5;111;9,33;2225FF
4933498516;M18FHETE22-802 M18 FUEL™ Akku-Stabheckenschere 216 cm Milwaukee;25;21,5;113,7;9,33;2226FF
4933479675;M12FHT20-0 FUEL™ Akku-Heckenschere Milwaukee;9,8;55,8;13,4;1,79;2227FF
4933499217;M18FCHS-122 M18 FUEL™ Akku-Kettensäge 40-cm-Schwert Milwaukee;28,4;24,9;89,9;11,38;2228FF
4933499223;"M18FCHS35-122 	
M18 FUEL™ Akku-Kettensäge 35-cm Schwert Milwaukee";28,4;24,9;84,1;10,7;2229FF
4933471441;M18FCHSC-0 FUEL™ Akku-Kettensäge 30cm Milwaukee;31,8;27,9;88;7,72;2230FF
4933499219;"M18FCHSC-122 	
M18 FUEL™ Akku-Kettensäge 30-cm-Schwert Milwaukee";28,5;25;80;11,18;2231FF
4933480120;M18F2CHS50-0 M18 FUEL™ Akku-Kettensäge 50 cm Schwert Milwaukee;36,5;63;28,5;9,98;2232FF
4933480121;M18F2CHS50-802 M18 FUEL™ Akku-Kettensäge 50 cm Schwert Milwaukee;65,5;38,8;33;14,9;2233FF
4933479588;M18FTHCHS35-0 M18 FUEL™ Akku-Top-Handle-Kettensäge 35cm Milwaukee;22,7;72;24,5;5,84;2234FF
4933499222;M18FTHCHS35-802  M18 FUEL™ Akku-Top-Handle-Kettensäge 35 cm Schwert Milwaukee;24,5;22,5;72;8,5;2235FF
4933479586;M18FTHCHS30-0 M18 FUEL™ Akku-Top-Handle-Kettensäge 30cm Milwaukee;24,8;23;66,6;5,64;2236FF
4933499221;"M18FTHCHS30-802  	
M18 FUEL™ Akku-Top-Handle-Kettensäge 30 cm Schwert Milwaukee";24,5;22,5;66,6;8,45;2237FF
4933499233;"M18FBLG3-802 	
M18 FUEL™ Akku-Gebläse Milwaukee";28,5;23;52,6;6,43;2238FF
4933493212;M18F2BPB-0 M18 FUEL™ Akku-Rucksackgebläse Milwaukee;71;67;44,5;15,04;2239FF
4933493213;M18F2BPB-124 M18 FUEL™ Akku-Rucksackgebläse Milwaukee;98;66,5;44;27,6;2240FF
4933499231;M18F2BPB-124 M18 FUEL™ Akku-Rucksackgebläse Milwaukee;65,1;42,1;95,2;24,95;2241FF
4933499229;"M18F2BL-802 	
M18 FUEL™ Akku-Laubbläser Milwaukee";69;22,6;44;10,75;2242FF
4933480869;M18FTPS30-121 M18 FUEL™ Akku-Teleskop-Astsäge Milwaukee;230;17;19;14,3;2243FF
4933499227;M18FTPS30-121  M18 FUEL™ Akku-Teleskop-Astsäge 30 cm Milwaukee;237;18,4;16,8;13,58;2244FF
4933480865;M18BLTS-0 M18™ Akku-Teleskop-Astschere Milwaukee;217,9;19,1;16,3;9,81;2245FF
4933480866;M18BLTS-551 M18™ Akku-Teleskop-Astschere Milwaukee;225;23,3;20,3;13,66;2246FF
4933480781;M12BHCS3L-0 Akku-Chemie-Sprühgerät  Milwaukee;62,7;22,6;30;4,5;2247FF
4933480782;M12BHCS3L-201  Akku-Chemie-Sprühgerät  Milwaukee;62,5;30;23;5,22;2248FF
4933464961;M18BPFPH-0 Akku-Rucksack-Sprühgerät - Basisgerät Milwaukee;32;36,8;57,4;5,86;2249FF
4933498961;M18BBPFP2-0 M18™ Switch Tank™ Akku-Rucksack-Sprühgerät Milwaukee;37;32,2;57,4;4,55;2250FF
4933464962;M18BPFPH-401 Akku-Rucksack-Sprühgerät - Basisgerät Milwaukee;37;32,2;57,5;7,26;2251FF
4933498962;M18BBPFP2-301 M18™ Switch Tank™ Akku-Rucksack-Sprühgerät Milwaukee;37;32,2;57,4;5,95;2252FF
4933464965;M18BPFP-WST Akku-Rucksack-Sprühgerät - Wassertank Milwaukee;43;25,6;38;4,58;2253FF
4933498965;M18BBPFP2-WST M18™ Switch Tank™ Akku-Rucksack-Sprühgerät Milwaukee;38,2;25,3;42,9;3,8;2254FF
4933464964;M18BPFP-CST Akku-Rucksack-Sprühgerät - Chemietank Milwaukee;69,2;38,4;24,8;4,98;2255FF
4933498964;M18BBPFP2-CST M18™ Switch Tank™ Akku-Rucksack-Sprühgerät Milwaukee;38,2;25,3;42,9;3,8;2256FF
4933492662;M18FOPH2-0 M18 FUEL™ Akku-Basiseinheit mit QUIK-LOK™ Milwaukee;95,8;35,6;15,4;4,45;2257FF
4933492664;M18FOPH2-802 M18 FUEL™ Akku-Basiseinheit mit QUIK-LOK™ Milwaukee;96,6;35,9;18,6;8,43;2258FF
4933492663;M18FOPHLTKIT2-0 M18 FUEL™ Akku-Basiseinheit mit Rasentrimmer-Aufsatz Milwaukee;98;36;14;7,75;2259FF
4932464958;M18FOPH-EA QUIK-LOK™ Kantenschneider-Aufsatz Milwaukee;103,5;29,8;14,7;4,12;2260FF
4932464960;M18FOPH-EXA QUIK-LOK™ Verlängerungs-Aufsatz Milwaukee;11,9;109,5;8,6;1,58;2261FF
4932479986;M18FOPH-BCA QUIK-LOK™ Sensen-Aufsatz Milwaukee;11,7;24,5;10,7;3,5;2262FF
4932479984;M18FOPH-RBA QUIK-LOK™ Kehrwalzen-Aufsatz Milwaukee;120;36,3;28,5;11,57;2263FF
4932492667;M18FOPH-CA QUIK-LOK™ Bodenfräsen-Aufsatz Milwaukee;105,5;30;17;7,35;2264FF
4932492669;M18FOPH-RA QUIK-LOK™ Kreiselscheren-Aufsatz Milwaukee;102,3;23,1;30,4;5,4;2265FF
4933459160;M18ONESLDP-0 (SCHUKO GALP socket) Akku-Bauleuchte Milwaukee;50,5;80;42,5;13,78;2266FF
4933459155;M18ONESLSP-0 (SCHUKO GALP socket) Akku-Bauleuchte Milwaukee;31,2;28,2;31;6,54;2267FF
4933464134;M18TAL-0 Akku-Bauleuchte Milwaukee;29,4;23,9;49,8;2,34;2268FF
4933464126;HOBL7000 Leuchte Milwaukee;22,3;17,9;38,4;4,3;2269FF
4933492486;M18 SAL2-0 Akku-Baustrahler Milwaukee;26,5;113,6;27,8;9,34;2270FF
4933492903;M18SAL2-502B Akku-Baustrahler Milwaukee;113;24,4;25;12,5;2271FF
4933478120;M18POALC-0 PACKOUT™ Akku-Leuchte Milwaukee;26;44,5;24;6,47;2272FF
4933480473;M12POAL-0 PACKOUT™ Akku-Leuchte Milwaukee;42;12,5;26;2,96;2273FF
4932430392;M18AL-0 Akku-Leuchte Milwaukee;13;29,2;30,5;1,76;2274FF
4933493547;M18PAL2-0 M18™ Akku-Leuchte Milwaukee;31,5;14,8;15,6;2,44;2275FF
4933478226;M12PAL-0 Akku-Leuchte Milwaukee;30;9;15;0,48;2276FF
4933498149;M18MDTL-0 M18™ Akku-Leuchte Milwaukee;25,8;21;17,5;3,64;2277FF
4933459159;M18SLED-0 Akku-Handleuchte Milwaukee;14,8;13,4;29,8;1,72;2278FF
4933451261;M12SLED-0 Akku-Handleuchte Milwaukee;10;23;34;0,97;2279FF
4932430564;M18IL-0 Akku-Handleuchte Milwaukee;29,6;7,2;8,8;0,62;2280FF
4932430178;M12SL-0 Akku-Stableuchte Milwaukee;30,2;8,5;17;0,47;2281FF
4933478868;M12UCL-0 Akku-Unterbodenleuchte Milwaukee;38,4;16,4;7,6;1,64;2282FF
