Artikelnummer;Artikelname;Länge;Breite;Höhe;Artikelgewicht;Farbe
01-0088;"KW1307 Druckluft Ratschenschrauber 6,3 3/8"" Druckluft Ratschenschlüssel";0;0;0;0;0058FF
20741;"Druckluft-Ratschenschrauber 12,5 mm (1/2"")";0;0;0;0;0059FF
02-0053;RETTER RTSH-2300 Scherenhebebühne Inkl. Mobil-Kit 3.0 t mit Umlenkhilfe Rampen Vollverzinkt;0;0;0;550;0060FF
02-0055;RETTER Mobile Scherenhebebühne Inkl. Mobil-Kit 3.0 t - RT3010B;230;238;51;600;0061FF
02-0051;RETTER 4 Säulen Hebebühne 4000kg Profi Werkstatt Ausrüstung RTH-4100;0;0;0;900;0062FF
02-0018;RETTER Reifenmontagemaschine Multitalent RT-706E Pro - 380V;125;92;95;220;0063FF
01-0026;RETTER RTX-1000 Werkstatt Set 16 Teile Deluxe Edition Schranksystem mit MDF-Massiv-Platte;0;0;0;600;0064FF
01-0020;RETTER RT-FW3500 Profi Scherenhebebühne 3.5 t - Unterflur Einbau 380V 16A;160;60;80;660;0065FF
02-0031;RT1100 Flüster Kompressor 100 L / 8 Bar;100;36;77;80;0066FF
02-0030;RETTER RT3100 Kompressor 100 L / 10 Bar;111,5;42,5;83;85;0067FF
02-0033;Reifenmontagemaschine 220 V RT-800, Reifenmontiermaschine - mit pneumatisch kippbarem Montagearm;125;92;95;220;0068FF
02-0044;RETTER Mobile Scherenhebebühne Inkl. Mobil-Kit RT-3010A;230;178;51;600;0069FF
02-0042;RETTER RTH-2040 2 Säulen Hebebühne 4,2 t - Profi-Line | Version kurz 2550 mm;290;60;110;630;0070FF
02-0047;RTW-WB-65B Reifenwuchtmaschine Vollautomatisch;98;66;114;85;0071FF
01-0078;Doppelkolben Rangierwagenheber 3.0 t - Kopie;0;0;0;10;0072FF
02-0049;Getriebeheber Motorheber - Motorständer Getriebeständer 500 kg | RETTER RTH 9047;115;35;38;5;0073FF
02-0052;RTW-825A Reifenwuchtmaschine automatischer Messvorgang;0;0;0;60;0074FF
02-0048;RT1024 Flüster Kompressor 24 L / 8 Bar;54;31;52;28;0075FF
02-0054;RETTER RT9002 Druckluft Set 13 tlg inklusive 2 Verlängerungsdüsen;0;0;0;0,2;0076FF
02-0035;RETTER RT-2800S Scherenhebebühne 2.8 t & Mobil-Kit - Spengler Stromanschluss 380V / 220V optional erhältlich;203;108;51;450;0077FF
02-0016;Ölauffang - Ölabsauger max. 90 Liter Retter RTH5046;0;0;0;25;0078FF
02-0057;RS1 Werkzeugwagen Edelstahl Workstation mit 15 Schubladen;198,5;49;95;128;0079FF
02-0058;RS2 Werkstattwagen Werkbank 10 Schubladen - 1 Türfach;216;54;77,5;181;0080FF
03-0013;Gummikette Minibagger Kette 180x72x37;0;0;0;30;0081FF
